business,email,phones_found,source,note
Nurturing Our Seeds,management@nurturingourseeds.org,(313) 461-4432,http://nurturingourseeds.org/contact/,
Out the Mud Farm,monica@outthemudfarm.com,(615) 624-2160 | (615) 474-2440,https://sites.google.com/outthemudfarm.com/out-the-mud-farm/home?authuser=0,
Foxfire Ranch,foxfireranch@gmail.com,(662) 278-0279,https://www.yelp.com/biz/foxfire-ranch-waterford-2,
Prairie Hills Farm,prairiehillsfarm@yahoo.com,(415) 362-1137,https://www.pollinator.org/blog/prairie-hills-farm,
Renaissance Farm,cbblink@yahoo.com,(919) 333-9222,https://www.facebook.com/molinardfarms/,
Mystic Pine Farm,mysticpinefarm@gmail.com,(434) 332-9595 | (434) 332-9617,https://www.campbellvirginia.com/business-directory/mystic-pine-farm,
Hidden Gems Farm,hiddengemsfarmva@gmail.com,(571) 320-1479,https://www.yelp.com/biz/hidden-gems-farm-centreville,
Elements of Nature,elementsofnatureusa@gmail.com,(205) 489-5153 | (205) 489-5155,https://www.elementstile.com/contact,
Zizis Bee Company,zizisbeecompany@yahoo.com,(334) 649-9406,https://www.facebook.com/zizisbeecompany/,
"Earthly, Holistic & Organic Garden + *Thirdday Soaps Garden Wellness",thirddaysoapsgarden@gmail.com,(412) 290-0611,https://greenbeautycommunity.com/directory/third-day-soaps-garden-wellness/,
Faith Farms,faithgaryin@gmail.com,(901) 299-7707,https://faithfarmsgms.com/pages/contact-us?srsltid=AfmBOooONYwjoMd0eSUYEbKs5IgExUckMf7Lhlcl_IcRg73RSskHAqU3,
Igotchu Seasonings,igotchuseasonings@gmail.com,(833) 822-7222,https://www.yelp.com/biz/igotchu-seasonings-tucker,
Royal Queens Farm,grow@royalqueenfarms.com,(717) 394-3047,https://www.lancasterfarming.com/farming-news/news/rafi-awards-75-000-in-stipends-to-underserved-beginning-farmers/article_9549d9a2-5f1d-11ef-ab6b-470914e69d0c.html,
Perma-Pastures Farm,permapasturesfarm@gmail.com,,,still missing after pass 2
Hempress Farms,hempressfarmsllc@gmail.com,(336) 775-7663,https://bestofwinston.com/location/hempress-farms/,
Long Walk Spring Farm,howdy@longwalkspring.com,,,still missing after pass 2
Taylor Stevenson Ranch,major@taylorstevensonranch.com,(346) 330-1144,https://www.facebook.com/taylorstevensonranch/,
Chauncey'S,eatmore@eatmorechaunceys.com,(989) 742-3282,https://www.yelp.com/biz/chaunceys-pub-hillman,
Rollen’s RAW Grains,mchalmers888@gmail.com,(843) 784-3888,https://www.facebook.com/rollensrawgrains/,
Petit Jardin by Erica Sage,its.petit.jardin@gmail.com,,,still missing after pass 2
Brown Bass Farm,brownbassfarm@gmail.com,(423) 991-4198,https://blackfarmersindex.com/region-3-tennessee,
New Age Provisions Farms,newageprovision@gmail.com,(317) 370-3670,https://www.facebook.com/NAPfarms/,
AMBI Skincare,consumer@etbrowne.com,(800) 946-6354,https://ambi.com/pages/contact-us,
Briarwood Cattle Farm,briarwoodcattlefarm@gmail.com,(910) 565-2222,https://www.facebook.com/briarwoodcattle.farm/,
Smith Farm and Ranch,sfar.eden@gmail.com,(918) 422-4455,https://www.smithfarmandranchequipment.com/,
Old City Acres,oldcityacres@gmail.com,(734) 771-9984,https://www.oldcityacres.com/contact-us.html,
Jubilee Justice,info@jubileejustice.org,(800) 854-0586,https://non-gmoreport.com/articles/jubilee-justice-black-farmers-reclaim-land-and-livelihood-with-regenerative-rice-project/,
Joppy Mommas Farm,info@joppymommas.org,(469) 844-5229,https://joppymommasfarm.org/,
Muhammad Family Farm,ourcommunityfarmersmarketbva01@gmail.com,(757) 556-2381,https://www.yelp.com/biz/muhammad-family-farm-branchville,
Iléwa Foods,support@peoplefirsttourism.com,(379) 572-9741 | (350) 850-0296 | (474) 309-6808,https://peoplefirsttourism.com/contact,
